"Tabela 9886 - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas, por alfabetização, cor ou raça, sexo e grupos de idade, segundo as Favelas e Comunidades Urbanas",,,,,,,,,,,,,,
Variável - Pessoas de 15 anos ou mais de idade residentes em favelas e comunidades urbanas (Pessoas),,,,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Ano x Alfabetização x Cor ou raça,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,2022,,,,,,,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Alfabetizadas,,,,,,Não alfabetizadas,,,,,
Favela e Comunidade Urbana 2022,Sexo,Grupo de idade,Branca,Preta,Amarela,Parda,Indígena,Sem declaração,Branca,Preta,Amarela,Parda,Indígena,Sem declaração
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,65 anos ou mais,81,40,-,71,-,-,30,22,-,20,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,75 anos ou mais,28,13,-,22,-,-,20,16,-,13,-,-
Vila Primeiro de Maio - Belo Horizonte (MG),Mulheres,80 anos ou mais,10,6,-,11,-,-,16,10,-,10,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,15 a 19 anos,-,10,-,12,-,-,-,-,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,20 a 24 anos,7,8,-,11,-,-,-,-,-,1,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,25 a 34 anos,7,11,-,16,-,-,-,1,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,35 a 44 anos,5,18,-,22,-,-,-,-,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,45 a 54 anos,7,5,-,11,-,-,-,2,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,55 a 64 anos,2,7,-,7,-,-,-,2,-,1,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,65 anos ou mais,5,4,-,7,-,-,1,1,-,1,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,75 anos ou mais,2,1,-,1,-,-,1,-,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Homens,80 anos ou mais,1,-,-,-,-,-,1,-,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Mulheres,15 a 19 anos,9,4,-,13,-,-,-,-,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Mulheres,20 a 24 anos,9,7,-,13,-,-,-,1,-,1,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Mulheres,25 a 34 anos,5,13,-,18,-,-,-,-,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Mulheres,35 a 44 anos,13,17,-,24,-,-,-,-,-,-,-,-
Vila Antena Montanhês - Belo Horizonte (MG),Mulheres,45 a 54 anos,6,14,-,15,-,-,-,-,-,1,-,-
